Inspection ID,DBA Name,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
2352647,THE HALAL GUYS,Restaurant,Risk 1 (High),180 N WABASH AVE ,Chicago,IL,60601,12/3/2019,License,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED FACILITY TO ESTABLISH AN APPROPRIATE EMPLOYEE HEALTH POLICY AND MAINTAIN WITH VERIFIABLE SIGNED COPIES ON SITE FOR ALL FOOD EMPLOYEES.  PRIORITY FOUNDATION VIOLATION #7-38-010. NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. SUPPLIES MUST INCLUDE ADEQUATE SANITIZER THAT ELIMINATES NOROVIRUS. INSTRUCTED FACILITY TO PROVIDE CLEAN UP POLICY AND SUPPLIES TO PROPERLY HANDLE BODILY FLUID SPILLS ON SITE.  PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED LIVE PEST ACTIVITY IN THE REAR UTILITY MOP CLOSET. LIVE COCKROACH WAS OBSERVED CRAWLING UNDER HOSE CONNECTED TO MOP SINK FAUCET. LIVE COCKROACH ACTIVITY WAS NOTED ON GLUE BOARD PLACED NEAR HOT WATER HEATER IN SAME CLOSET. RODENT DROPPINGS (20 ) WERE NOTED BEHIND THE HOT WATER HEATER. MUST CLEAN AND SANITIZE ALL MENTIONED AREAS. INSTRUCTED TO CONSULT PEST CONTROL AS ADDITIONAL SERVICES ARE NEEDED TO ELIMINATE ACTIVITY PRIOR TO RE-INSPECTION.  PRIORITY FOUNDATION VIOLATION #7-38-020(A). NO CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A 1/4' GAP AT THE BOTTOM OF THE REAR EXIT DOOR WHERE DOOR SEAL IS MISSING. MUST PROVIDE A TIGHT FITTING SEAL AT ALL OUTER OPENINGS TO PREVENT THE ENTRY OF PESTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESS CLUTTER AND UNNECESSARY ARTICLES STORED ON THE FLOORS IN THE FURNACE CLOSET. MUST REMOVE ALL UNNECESSARY ARTICLES, CLEAN ALL CLUTTER, ORGANIZE, AND MAINTAIN AREAS AT ALL TIMES | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OPENINGS/CRACKS AND MISSING TILES IN THE FLOOR BASE BOARDS LOCATED IN THE REAR PREP AREA. INSTRUCTED TO SEAL ALL OPENINGS AND PROVIDE MISSING TILES TO ENSURE SURFACE AREA IS SMOOTH AND EASILY CLEANABLE AND RESTRICTS PEST ENTRY. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED LOW LIGHTING IN WALK IN FREEZER. INSTRUCTED TO REPLACE LIGHTBULB AND INCREASE LIGHTING IN FREEZER | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO CERTIFIED FOOD MANAGER WITH ALLERGEN TRAINING. INSTRUCTED ANY PERSONS WITH THE CITY OF CHICAGO FOOD SANITATION CERTIFICATE TO COMPLY WITH COMPLETION OF TRAINING. MUST PROVIDE DOCUMENTATION.",41.8853537,-87.62641329,"{'latitude': '-87.62641328540737', 'longitude': '41.885353703982936'}"
2352581,THE HALAL GUYS,Restaurant,Risk 1 (High),180 N WABASH AVE ,Chicago,IL,60601,12/2/2019,License,Not Ready,Unknown,41.8853537,-87.62641329,"{'latitude': '-87.62641328540737', 'longitude': '41.885353703982936'}"
2321041,THE FAIRMONT CHICAGO/MILLENIUM ROOM,Restaurant,Risk 1 (High),200 N COLUMBUS DR ,Chicago,IL,60601,11/5/2019,Canvass Re-Inspection,Pass w/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED NO HANDWASHING SIGNAGE IN ALL WASHROOMS ON THE 1ST FLOOR (MEN'S AND WOMEN'S). INSTRUCTED TO PROVIDE. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-204.11 OBSERVED ADDITIONAL HANDSINKS NEEDED IN PASTRY/COLD SIDE PREP AND IN COFFEE PREP ROOM. INSTRUCTED TO INSTALL. PRIORITY FOUNDATION VIOLATION 7-38-030(C). NO CITATION ISSUED. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: 4-904.11 OBSERVED EXPOSED UTENSILS IN A BIN. PERSON IN CHARGE WAS INSTRUCTED TO REWASH, SANITIZE AND AIR DRY THE UTENSILS PRIOR TO THEM BEING ROLLED FOR CONSUMERS. ADVISED TO PROPERLY COVER UTENSILS WHILE IN BIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(B) OBSERVED GREASE BUILDUP ON COOKING EQUIPMENT ON HOT SERVICE LINE KITCHEN/PREP AREAS. INSTRUCTED TO DEGREASE, CLEAN AND SANITIZE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15 OBSERVED LOOSE FAUCET UNIT FOR HANDSINK NEAR THE DISH WASHING AREA (HIGH TEMPERATURE DISH MACHINE AND 3-COMP SINK). INSTRUCTED TO TIGHTEN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO COVERED RECEPTACLE FOR SANITARY NAPKINS INSIDE SINGLE STALL FOR WOMEN'S WASHROOM LOCATED IN THE BAR. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED LOOSE FOOD DEBRIS AND RESIDUE IN THE FLOOR DRAINS THROUGHOUT THE FACILITY. INSTRUCTED TO DETAIL CLEAN TO REMOVE SPILLS, FOOD DEBRIS, DIRT BUILDUP AND/OR GREASE. MUST MAINTAIN AT ALL TIMES.",41.88600583,-87.62082896,"{'latitude': '-87.62082895674074', 'longitude': '41.886005833425465'}"
2320655,MARKET THYME,Restaurant,Risk 1 (High),200 E RANDOLPH ST ,Chicago,IL,60601,10/29/2019,Canvass Re-Inspection,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) OBSERVED MULTIPLE REFRIGERATORS THROUGHOUT GRILL, SUSHI STATION, AND OTHER PREP AREAS WITHOUT INTERNAL THERMOMETERS. INSTRUCTED TO INSTALL AND MAINTAIN WORKING THERMOMETERS IN ALL COOLERS. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-302.12  OBSERVED BULK FOOD STORAGE CONTAINERS NOT LABELED WITH COMMON NAMES. INSTRUCTED TO LABEL ALL BULK ITEMS WITH COMMON NAME SUCH AS SUGAR,FLOUR, RICE, ETC. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-307.11  OBSERVED SPLASH GUARD IN BETWEEN HAND WASH SINK FOOD PREP AREA IN SUSHI STATION WITH HALF INCH GAP BETWEEN GUARD AND COUNTER. INSTRUCTED TO EXTEND SPLASH GUARD SO THAT IT CREATES A COMPLETE BARRIER BETWEEN THE HAND WASH SINK AND THE FOOD PREP AREA. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.11  OBSERVED FOOD CONTAINERS STORED ON THE FLOOR IN THE WALK-IN COOLER, PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO PROPERLY STORE AND PROTECT FOOD ITEMS FROM CONTAMINATION WHILE STORED BY ELEVATING AT LEAST 6 INCHES FROM THE FLOOR ON RAISED SHELVING UNITS. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: 3-304.14 OBSERVED WIPING CLOTHES IMPROPERLY STORED THROUGHOUT VARIOUS PREP AREAS. INSTRUCTED TO KEEP ALL WIPING CLOTHES IN SANITIZER BUCKET IN BETWEEN USE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-202.15  OBSERVED CAN OPENER IN REAR PREP AREA COVERED IN BLACK DIRT AND RUST. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN CLEAN, SANITIZED CAN OPENER | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12  OBSERVED CUTTING BOARDS THROUGHOUT FACILITY WITH DEEP GROOVES AND STAINS. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN SMOOTH, CLEANABLE CUTTING SURFACES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.16  OBSERVED THICK COATING OF BLACK DUST ON CEILING PANELS THROUGHOUT REAR PREP AREA AND BASEMENT PREP AREA. INSTRUCTED TO CLEAN AND MAINTAIN. OBSERVED MISSING AND COLLAPSED CEILING PANELS THROUGHOUT REAR PREP AREA AND BASEMENT PREP AREA AND DISH WASHING AREA. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN A SMOOTH, CLEANABLE CEILING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114  OBSERVED UNUSED EQUIPMENT THROUGHOUT REAR PREP AREA. INSTRUCTED TO REMOVE AND MAINTAIN FACILITY FREE OF CLUTTER. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-501.14  OBSERVED VENTILATION FANS THROUGHOUT FACILITY IN REAR UPSTAIRS PREP AREA, BASEMENT, AND EMPLOYEE RESTROOMS COVERED WITH DUST AND BLACK SLIME. INSTRUCTED TO REMOVE, CLEAN, SANITIZE, AND MAINTAIN.",41.88463208,-87.62224799,"{'latitude': '-87.6222479910888', 'longitude': '41.8846320757672'}"
2320659,MCDONALDï¿½S 25088,Restaurant,Risk 2 (Medium),233 N MICHIGAN AVE ,Chicago,IL,60601,10/29/2019,License Re-Inspection,Pass,Unknown,41.88656737,-87.62438467,"{'latitude': '-87.62438467059714', 'longitude': '41.886567370886944'}"
2315954,MARKET THYME,Restaurant,Risk 1 (High),200 E RANDOLPH ST ,Chicago,IL,60601,10/16/2019,Canvass Re-Inspection,Fail,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B)  OBSERVED MULTIPLE REFRIGERATORS THROUGHOUT GRILL, SUSHI STATION, AND OTHER PREP AREAS WITHOUT INTERNAL THERMOMETERS. INSTRUCTED TO INSTALL AND MAINTAIN WORKING THERMOMETERS IN ALL COOLERS. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-302.12  OBSERVED BULK FOOD STORAGE CONTAINERS NOT LABELED WITH COMMON NAMES. INSTRUCTED TO LABEL ALL BULK ITEMS WITH COMMON NAME SUCH AS SUGAR,FLOUR, RICE, ETC. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-307.11  OBSERVED SPLASH GUARD IN BETWEEN HAND WASH SINK FOOD PREP AREA IN SUSHI STATION WITH HALF INCH GAP BETWEEN GUARD AND COUNTER. INSTRUCTED TO EXTEND SPLASH GUARD SO THAT IT CREATES A COMPLETE BARRIER BETWEEN THE HAND WASH SINK AND THE FOOD PREP AREA. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.11  OBSERVED FOOD CONTAINERS STORED ON THE FLOOR IN THE WALK-IN COOLER, PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO PROPERLY STORE AND PROTECT FOOD ITEMS FROM CONTAMINATION WHILE STORED BY ELEVATING AT LEAST 6 INCHES FROM THE FLOOR ON RAISED SHELVING UNITS. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: 3-304.14  OBSERVED WIPING CLOTHES IMPROPERLY STORED IN REAR PREP AREA. INSTRUCTED TO KEEP ALL WIPING CLOTHES IN SANITIZER BUCKET IN BETWEEN USE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-202.15 OBSERVED CAN OPENER IN REAR PREP AREA COVERED IN BLACK DIRT AND RUST. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN CLEAN, SANITIZED CAN OPENER | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12  OBSERVED CUTTING BOARDS THROUGHOUT FACILITY WITH DEEP GROOVES AND STAINS. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN SMOOTH, CLEANABLE CUTTING SURFACES. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: 4-204.115  NOTED NO TEMPERATURE MEASURING DEVICE/GAUGE FOR THE WASH, SANITIZING AND RINSE CYCLES OF COMMERCIAL HIGH TEMPERATURE WAREWASHING MACHINE LOCATED IN THE BASEMENT PREP AREA. INSTRUCTED TO CORRECTED AND PROVIDE.  PRIORITY FOUNDATION VIOLATION # 7-38-005. CITATION ISSUED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.16 OBSERVED THICK COATING OF BLACK DUST ON CEILING PANELS THROUGHOUT REAR PREP AREA AND BASEMENT PREP AREA. INSTRUCTED TO CLEAN AND MAINTAIN.  OBSERVED MISSING AND COLLAPSED CEILING PANELS THROUGHOUT REAR PREP AREA AND BASEMENT PREP AREA AND DISH WASHING AREA. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN A SMOOTH, CLEANABLE CEILING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114  OBSERVED UNUSED EQUIPMENT THROUGHOUT REAR PREP AREA. INSTRUCTED TO REMOVE AND MAINTAIN FACILITY FREE OF CLUTTER. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-501.14  OBSERVED VENTILATION FANS THROUGHOUT FACILITY IN REAR UPSTAIRS PREP AREA, BASEMENT, AND EMPLOYEE RESTROOMS COVERED WITH DUST AND BLACK SLIME. INSTRUCTED TO REMOVE, CLEAN, SANITIZE, AND MAINTAIN.",41.88463208,-87.62224799,"{'latitude': '-87.6222479910888', 'longitude': '41.8846320757672'}"
2315816,HALSTED STREET DELI,Restaurant,Risk 1 (High),222 N LA SALLE ST ,Chicago,IL,60601,10/11/2019,Canvass Re-Inspection,Pass w/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: 2-101.11 NOTED ONLY FOOD HANDLERS AND NO PERSON IN CHARGE ON DUTY NOR ANY PERSONS WITH CITY OF CHICAGO CERTIFIED FOOD MANAGER CERTIFICATE DURING TIME OF INSPECTION. MUST PROVIDE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: 2-101.11 OBSERVED FACILITY FOOD HANDLERS PREPARING AND HANDLING  TIME AND TEMPERATURE CONTROL FOR SAFETY(TCS) FOODS WITHOUT ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER AND CERTIFICATE ON SITE. INFORMED PERSON IN CHARGE CITY OF CHICAGO ORIGINAL FOOD SERVICE CERTIFICATE MUST REMAIN POSTED ON SITE AND CERTIFIED MANAGER ON SITE DURING TCS FOOD PREP, COOKING, SERVING AND OPERATING HOURS.  PRIORITY FOUNDATION VIOLATION #7-38-012. CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO WRITTEN PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. SUPPLIES MUST INCLUDE ADEQUATE SANITIZER THAT ELIMINATES NOROVIRUS. INSTRUCTED FACILITY TO PROVIDE CLEAN UP POLICY AND SUPPLIES TO PROPERLY HANDLE BODILY FLUID SPILLS ON SITE.  PRIORITY FOUNDATION VIOLATION #7-38-005. CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-202.12 (A) OBSERVED THE FOLLOWING SINK NOT MAINTAINED WITH HOT WATER: IMPROPER TEMPERATURE OF HOT WATER OBSERVED AT REAR PREP HANDSINK (88F). INSTRUCTED PERSON IN CHARGE HOT WATER AT ALL HAND WASHING SINKS MUST BE AT LEAST 100F. WATER TEMPERATURE WAS RECOVERED DURING THE INSPECTION TO 111F. PRIORITY VIOLATION #7-38-030(C). CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) NOTED NO THERMOMETERS INSIDE THE REAR 2-DOOR REFRIGERATOR AND REACH IN COOLERS. INSTRUCTED TO PROVIDE CONSPICUOUS AND EASILY READABLE THERMOMETERS INSIDE ALL COOLERS UNITS. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11(B:5) OBSERVED GRAB & GO FOOD ITEMS ON DISPLAY NOT PROPERLY LABELED (BAKED COOKIES, BROWNIES, POTATO SALAD, COLESLAW, FRUIT CUPS). INSTRUCTED PERSON IN CHARGE TO PROPERLY LABEL ALL PACKAGED FOOD ITEMS WITH IDENTITY, NET WEIGHT, INGREDIENTS, LIST MAJOR ALLERGENS, BUSINESS NAME AND ADDRESS WHERE MADE AND PACKAGED.  PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-307.11 OBSERVED A SMALL PLASTIC CONTAINER USED TO SCOOP SAUCES STORED REACH IN COOLERS. INSTRUCTED TO PROVIDE A PROPER DIPPING SPOON/UTENSIL TO AVOID CONTAMINATION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) OBSERVED RUST BUILDUP ON THE GREASE TRAP AND INSIDE THE FRONT SERVICE COUNTER HOT-HOLDING UNITS. INSTRUCTED TO REMOVE AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HANDSINK AT FRONT PREP AREA SLOWLY DRAINING WATER. INSTRUCTED TO CORRECT. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13 OBSERVED NO PROOF OF TRAINING FOR ALL FOOD HANDLERS. INSTRUCTED TO PROVIDE AND MAINTAIN RECORDS AT ALL TIMES. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: SEE VIOLATION #60 | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: 8-404.13(B:4) NOTED CONTINUED NON COMPLIANCE FROM REPORT #2200662 ON 8/8/18. PREVIOUS CORE VIOLATIONS NOT CORRECTED: (58) PA 100-0367: NO ALLERGEN TRAINING CERTIFICATE ON SITE. INSTRUCTED ANY PERSONS WITH THE CITY OF CHICAGO FOOD SANITATION CERTIFICATE TO COMPLY WITH COMPLETION OF TRAINING. MUST PROVIDE DOCUMENTATION.  PRIORITY FOUNDATION VIOLATION #7-42-090. CITATION ISSUED.",41.8863516,-87.63261395,"{'latitude': '-87.63261394551859', 'longitude': '41.886351604488574'}"
2315792,LAKESHORE SPORT & FITNESS,Restaurant,Risk 1 (High),211 N STETSON AVE ,Chicago,IL,60601,10/11/2019,Canvass Re-Inspection,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(O) OBSERVED NO HEALTH POLICY ON SITE. INSTRUCTED TO MAINTAIN COPIES OF THE HEALTH POLICY SIGNED BY ALL EMPLOYEES. PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO WRITTEN PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. SUPPLIES MUST INCLUDE ADEQUATE SANITIZER THAT ELIMINATES NOROVIRUS. INSTRUCTED FACILITY TO PROVIDE CLEAN UP POLICY AND SUPPLIES TO PROPERLY HANDLE BODILY FLUID SPILLS ON SITE.  PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-204.11 OBSERVED NO HANDSINK IN THE FRONT BAR AREA. FACILITY HAS A ONE COMPARTMENT PREP SINK, A THREE COMPARTMENT WARE WASHING SINK AND NO HANDWASHING SINK. INSTRUCTED TO INSTALL.  PRIORITY FOUNDATION VIOLATION 7-38-030(C). NO CITATION ISSUED. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: 3-501.17 OBSERVED IMPROPERLY DATE MARKED TIME/TEMPERATURE CONTROL FOR SAFETY FOODS. INSTRUCTED TO LABEL ALL TIME/TEMPERATURE CONTROL FOR SAFETY FOODS ON SITE WITH 7 DAY DISPOSAL DATE. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.11 OBSERVED FOOD ITEMS STORED ON THE FLOOR THROUGHOUT THE REAR PREP AREA. INSTRUCTED TO ELEVATE ALL ITEMS AT LEAST 6 INCHES OFF THE GROUND. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.13 OBSERVED SOILED FLOOR DRAINS COVERED WITH YELLOW AND BROWN STAINS THROUGHOUT REAR PREP AREA. INSTRUCTED TO CLEAN, SANITIZE, AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-102.13 OBSERVED EMPLOYEES WITH CITY OF CHICAGO SANITATION CERTIFICATE WITHOUT ALLERGEN TRAINING. INSTRUCTED ALL EMPLOYEES WITH CITY OF CHICAGO SANITATION CERTIFICATES MUST COMPLETE ALLERGEN TRAINING AND MAINTAIN CERTIFICATIONS ON SITE.",41.88602728,-87.62216627,"{'latitude': '-87.62216627091873', 'longitude': '41.886027277677655'}"
2315602,CAFE MICHELLE,Restaurant,Risk 1 (High),200 N LAKEFRONT DR ,Chicago,IL,60601,10/9/2019,Canvass,No Entry,Unknown,41.88575165,-87.61292611,"{'latitude': '-87.6129261108629', 'longitude': '41.88575164585066'}"
2315403,NEW ORLEANS KITCHEN,Restaurant,Risk 1 (High),100 W RANDOLPH ST ,Chicago,IL,60601,10/4/2019,Canvass,Pass w/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED PERSON IN CHARGE WITHOUT CITY OF CHICAGO CERTIFIED FOOD MANAGERS CERTIFICATE DURING TIME OF INSPECTION. MUST PROVIDE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED FACILITY FOOD HANDLERS PREPARING AND HANDLING ï¿½TIME AND TEMPERATURE CONTROL FOR SAFETY(TCS) FOODS WITHOUT ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER AND CERTIFICATE ON SITE. INFORMED PERSON IN CHARGE CITY OF CHICAGO ORIGINAL FOOD SERVICE CERTIFICATE MUST REMAIN POSTED ON SITE AND CERTIFIED MANAGER ON SITE DURING TCS FOOD PREP, COOKING, SERVING AND OPERATING HOURS. PRIORITY FOUNDATION VIOLATION #7-38-012. CITATION ISSUED. | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED FACILITY TO ESTABLISH AN APPROPRIATE EMPLOYEE HEALTH POLICY AND MAINTAIN WITH VERIFIABLE SIGNED COPIES ON SITE FOR ALL FOOD EMPLOYEES.  PRIORITY FOUNDATION VIOLATION #7-38-010. CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. SUPPLIES MUST INCLUDE ADEQUATE SANITIZER THAT ELIMINATES NOROVIRUS. INSTRUCTED FACILITY TO PROVIDE CLEAN UP POLICY AND SUPPLIES TO PROPERLY HANDLE BODILY FLUID SPILLS ON SITE.  PRIORITY FOUNDATION VIOLATION #7-38-005. CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED GRAB & GO FOOD ITEMS IN THE DISPLAY COOLER AND AT THE REGISTER NOT PROPERLY LABELED (SALAD, SLICED PIES AND MUFFINS). INSTRUCTED PERSON IN CHARGE TO PROPERLY LABEL ALL PACKAGED FOOD ITEMS WITH IDENTITY,  NET WEIGHT, INGREDIENTS, LIST MAJOR ALLERGENS, BUSINESS NAME AND ADDRESS WHERE MADE AND PACKAGED.  PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: SEE VIOLATION # | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED GREASE BUILDUP ON COOKING EQUIPMENT, WALLS, SURROUNDING FLOORS AND SHELVING UNITS IN THE KITCHEN/PREP AREAS. INSTRUCTED TO DEGREASE, CLEAN AND SANITIZE. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO CERTIFIED FOOD MANAGER WITH ALLERGEN TRAINING. INSTRUCTED ANY PERSONS WITH THE CITY OF CHICAGO FOOD SANITATION CERTIFICATE TO COMPLY WITH COMPLETION OF TRAINING. MUST PROVIDE DOCUMENTATION. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: NOTED CONTINUED NON COMPLIANCE FROM REPORT #2200517 ON 8/3/18. PREVIOUS CORE VIOLATIONS NOT CORRECTED: (40) 3-304.14 - WIPING CLOTHS SOILED AND NOT STORED PROPERLY, INSTRUCTED NO TO USE HEAVILY SOILED CLOTH AND KEEP THE ONE IN USE IN A SANITIZED SOLUTION. VIOLATION WAS CORRECTED DURING INSPECTION.  PRIORITY FOUNDATION VIOLATION #7-42-090. CITATION ISSUED.",41.88458627,-87.63101045,"{'latitude': '-87.63101044588599', 'longitude': '41.88458626715456'}"
